Date,환율
2017-03-08,1145.5
2017-03-09,1158.1
2017-03-10,1157.4
2017-03-13,1144.4
2017-03-14,1148.8
2017-03-15,1143.6
2017-03-16,1132.0
2017-03-17,1130.9
2017-03-20,1120.1
2017-03-21,1120.3
2017-03-22,1123.3
2017-03-23,1122.4
2017-03-24,1122.6
2017-03-27,1112.8
2017-03-28,1113.0
2017-03-29,1114.2
2017-03-30,1117.2
2017-03-31,1118.4
2017-04-03,1115.3
2017-04-04,1121.9
2017-04-05,1124.4
2017-04-06,1133.2
2017-04-07,1134.5
2017-04-10,1142.2
2017-04-11,1145.8
2017-04-12,1141.4
2017-04-13,1129.7
2017-04-14,1140.0
2017-04-17,1137.7
2017-04-18,1142.4
2017-04-19,1140.2
2017-04-20,1139.8
2017-04-21,1134.4
2017-04-24,1129.9
2017-04-25,1125.4
2017-04-26,1125.1
2017-04-27,1130.1
2017-04-28,1137.9
2017-05-02,1130.5
2017-05-04,1132.7
2017-05-08,1131.4
2017-05-10,1135.8
2017-05-11,1127.9
2017-05-12,1127.4
2017-05-15,1123.6
2017-05-16,1116.0
2017-05-17,1118.3
2017-05-18,1124.5
2017-05-19,1127.2
2017-05-22,1118.6
2017-05-23,1124.2
2017-05-24,1126.8
2017-05-25,1116.5
2017-05-26,1120.7
2017-05-29,1121.7
2017-05-30,1125.1
2017-05-31,1119.5
2017-06-01,1122.0
2017-06-02,1121.8
2017-06-05,1118.3
2017-06-07,1124.0
2017-06-08,1122.1
2017-06-09,1123.2
2017-06-12,1127.3
2017-06-13,1128.3
2017-06-14,1123.9
2017-06-15,1124.1
2017-06-16,1134.1
2017-06-19,1132.7
2017-06-20,1135.4
2017-06-21,1144.0
2017-06-22,1140.9
2017-06-23,1138.8
2017-06-26,1137.1
2017-06-27,1136.9
2017-06-28,1144.0
2017-06-29,1141.1
2017-06-30,1144.1
2017-07-03,1146.9
2017-07-04,1150.6
2017-07-05,1150.5
2017-07-06,1157.4
2017-07-07,1154.3
2017-07-10,1149.5
2017-07-11,1151.1
2017-07-12,1145.1
2017-07-13,1136.3
2017-07-14,1133.3
2017-07-17,1128.3
2017-07-18,1123.1
2017-07-19,1120.6
2017-07-20,1125.5
2017-07-21,1118.2
2017-07-24,1114.0
2017-07-25,1115.3
2017-07-26,1121.8
2017-07-27,1112.8
2017-07-28,1122.1
2017-07-31,1119.0
2017-08-01,1121.3
2017-08-02,1124.0
2017-08-03,1128.8
2017-08-04,1125.0
2017-08-07,1127.1
2017-08-08,1125.1
2017-08-09,1135.2
2017-08-10,1142.0
2017-08-11,1143.5
2017-08-14,1139.7
2017-08-16,1141.5
2017-08-17,1137.2
2017-08-18,1141.3
2017-08-21,1139.0
2017-08-22,1133.8
2017-08-23,1131.8
2017-08-24,1127.9
2017-08-25,1128.2
2017-08-28,1120.1
2017-08-29,1126.4
2017-08-30,1124.2
2017-08-31,1127.8
2017-09-01,1122.8
2017-09-04,1133.0
2017-09-05,1131.1
2017-09-06,1135.4
2017-09-07,1129.4
2017-09-08,1127.5
2017-09-11,1131.9
2017-09-12,1128.5
2017-09-13,1128.5
2017-09-14,1132.6
2017-09-15,1131.7
2017-09-18,1126.6
2017-09-19,1131.3
2017-09-20,1128.3
2017-09-21,1132.7
2017-09-22,1136.5
2017-09-25,1131.8
2017-09-26,1136.8
2017-09-27,1140.7
2017-09-28,1149.1
2017-09-29,1145.4
2017-10-10,1135.1
2017-10-11,1135.2
2017-10-12,1133.2
2017-10-13,1128.9
2017-10-16,1127.8
2017-10-17,1132.5
2017-10-18,1129.9
2017-10-19,1132.4
2017-10-20,1131.0
2017-10-23,1130.2
2017-10-24,1127.4
2017-10-25,1127.9
2017-10-26,1124.6
2017-10-27,1130.5
2017-10-30,1124.6
2017-10-31,1120.4
2017-11-01,1114.5
2017-11-02,1114.4
2017-11-03,1113.8
2017-11-06,1115.0
2017-11-07,1111.9
2017-11-08,1115.6
2017-11-09,1115.6
2017-11-10,1117.1
2017-11-13,1120.6
2017-11-14,1118.1
2017-11-15,1112.3
2017-11-16,1101.4
2017-11-17,1097.5
2017-11-20,1100.6
2017-11-21,1095.8
2017-11-22,1089.1
2017-11-23,1085.4
2017-11-24,1085.4
2017-11-27,1088.6
2017-11-28,1084.4
2017-11-29,1076.8
2017-11-30,1088.2
2017-12-01,1086.4
