iter	Passed	Remaining
662	3691	1876
663	3697	1870
664	3702	1865
665	3707	1859
666	3712	1853
667	3717	1847
668	3723	1842
669	3728	1836
670	3732	1830
671	3738	1824
672	3743	1818
673	3748	1812
674	3753	1807
675	3758	1801
676	3763	1795
677	3768	1789
678	3773	1783
679	3778	1778
680	3783	1772
681	3789	1766
682	3794	1761
683	3799	1755
684	3804	1749
685	3810	1743
686	3815	1738
687	3820	1732
688	3825	1726
689	3831	1721
690	3836	1715
691	3841	1709
692	3846	1704
693	3851	1698
694	3856	1692
695	3861	1686
696	3866	1681
697	3871	1675
698	3877	1669
699	3882	1663
700	3887	1658
701	3892	1652
702	3897	1646
703	3903	1641
704	3908	1635
705	3913	1629
706	3918	1623
707	3923	1618
708	3928	1612
709	3933	1606
710	3938	1601
711	3944	1595
712	3949	1589
713	3954	1584
714	3959	1578
715	3964	1572
716	3969	1566
717	3974	1561
718	3979	1555
719	3984	1549
720	3989	1543
721	3995	1538
722	4001	1533
723	4007	1527
724	4013	1522
725	4019	1517
726	4025	1511
727	4031	1506
728	4036	1500
729	4041	1494
730	4047	1489
731	4052	1483
732	4057	1478
733	4063	1472
734	4069	1467
735	4075	1461
736	4081	1456
737	4085	1450
738	4090	1444
739	4096	1439
740	4101	1433
741	4108	1428
742	4113	1422
743	4118	1417
744	4123	1411
745	4128	1405
746	4133	1399
747	4138	1394
748	4143	1388
749	4148	1382
750	4153	1377
751	4158	1371
752	4163	1365
753	4168	1360
754	4173	1354
755	4178	1348
756	4183	1342
757	4188	1337
758	4193	1331
759	4198	1325
760	4204	1320
761	4209	1314
762	4213	1308
763	4218	1303
764	4223	1297
765	4228	1291
766	4234	1286
767	4239	1280
768	4244	1274
769	4249	1269
770	4254	1263
771	4259	1257
772	4264	1252
773	4269	1246
774	4274	1240
775	4279	1235
776	4284	1229
777	4289	1224
778	4295	1218
779	4301	1213
780	4306	1207
781	4311	1202
782	4317	1196
783	4322	1190
784	4327	1185
785	4333	1179
786	4339	1174
787	4344	1168
788	4349	1163
789	4354	1157
790	4359	1151
791	4364	1146
792	4369	1140
793	4374	1135
794	4380	1129
795	4385	1123
796	4389	1118
797	4395	1112
798	4400	1106
799	4405	1101
800	4410	1095
801	4415	1090
802	4420	1084
803	4425	1078
804	4431	1073
805	4436	1067
806	4440	1062
807	4446	1056
808	4451	1051
809	4456	1045
810	4461	1039
811	4467	1034
812	4472	1028
813	4477	1023
814	4483	1017
815	4488	1012
816	4494	1006
817	4499	1001
818	4504	995
819	4509	989
820	4515	984
821	4520	978
822	4526	973
823	4532	968
824	4537	962
825	4542	956
826	4548	951
827	4553	945
828	4559	940
829	4564	934
830	4569	929
831	4575	923
832	4580	918
833	4585	912
834	4590	907
835	4595	901
836	4601	896
837	4606	890
838	4611	884
839	4616	879
840	4621	873
841	4626	868
842	4631	862
843	4636	856
844	4642	851
845	4647	845
846	4652	840
847	4658	835
848	4663	829
849	4668	823
850	4673	818
851	4678	812
852	4683	807
853	4688	801
854	4693	796
855	4698	790
856	4704	784
857	4709	779
858	4714	773
859	4720	768
860	4725	762
861	4730	757
862	4735	751
863	4741	746
864	4745	740
865	4750	735
866	4756	729
867	4761	724
868	4766	718
869	4772	713
870	4777	707
871	4783	702
872	4788	696
873	4794	691
874	4799	685
875	4805	680
876	4810	674
877	4815	669
878	4821	663
879	4827	658
880	4833	652
881	4838	647
882	4845	641
883	4851	636
884	4856	631
885	4862	625
886	4868	620
887	4874	614
888	4879	609
889	4885	603
890	4890	598
891	4895	592
892	4900	587
893	4905	581
894	4911	576
895	4917	570
896	4922	565
897	4927	559
898	4932	554
899	4937	548
900	4942	543
901	4947	537
902	4952	532
903	4958	526
904	4963	521
905	4970	515
906	4975	510
907	4980	504
908	4986	499
909	4991	493
910	4996	488
911	5001	482
912	5006	477
913	5011	471
914	5016	466
915	5022	460
916	5027	455
917	5032	449
918	5037	444
919	5042	438
920	5048	433
921	5053	427
922	5058	421
923	5064	416
924	5069	411
925	5074	405
926	5079	400
927	5085	394
928	5090	389
929	5096	383
930	5101	378
931	5106	372
932	5112	367
933	5117	361
934	5122	356
935	5128	350
936	5133	345
937	5138	339
938	5143	334
939	5149	328
940	5154	323
941	5160	317
942	5165	312
943	5170	306
944	5176	301
945	5181	295
946	5186	290
947	5192	284
948	5197	279
949	5202	273
950	5208	268
951	5214	262
952	5219	257
953	5224	251
954	5229	246
955	5234	240
956	5239	235
957	5244	229
958	5249	224
959	5254	218
960	5260	213
961	5264	207
962	5269	202
963	5274	196
964	5279	191
965	5285	186
966	5290	180
967	5295	175
968	5301	169
969	5307	164
970	5313	158
971	5318	153
972	5324	147
973	5329	142
974	5333	136
975	5339	131
976	5344	125
977	5349	120
978	5354	114
979	5360	109
980	5364	103
981	5370	98
982	5374	92
983	5380	87
984	5385	82
985	5390	76
986	5396	71
987	5401	65
988	5407	60
989	5412	54
990	5418	49
991	5423	43
992	5430	38
993	5435	32
994	5440	27
995	5445	21
996	5450	16
997	5455	10
998	5461	5
999	5467	0
